Race ID,Year,Race Name,Avg pit stop time (ms)
631,1972,United States Grand Prix,\N
632,1971,South African Grand Prix,\N
633,1971,Spanish Grand Prix,\N
634,1971,Monaco Grand Prix,\N
635,1971,Dutch Grand Prix,\N
636,1971,French Grand Prix,\N
637,1971,British Grand Prix,\N
638,1971,German Grand Prix,\N
639,1971,Austrian Grand Prix,\N
640,1971,Italian Grand Prix,\N
641,1971,Canadian Grand Prix,\N
642,1971,United States Grand Prix,\N
643,1970,South African Grand Prix,\N
644,1970,Spanish Grand Prix,\N
645,1970,Monaco Grand Prix,\N
646,1970,Belgian Grand Prix,\N
647,1970,Dutch Grand Prix,\N
648,1970,French Grand Prix,\N
649,1970,British Grand Prix,\N
650,1970,German Grand Prix,\N
651,1970,Austrian Grand Prix,\N
652,1970,Italian Grand Prix,\N
653,1970,Canadian Grand Prix,\N
654,1970,United States Grand Prix,\N
655,1970,Mexican Grand Prix,\N
656,1969,South African Grand Prix,\N
657,1969,Spanish Grand Prix,\N
658,1969,Monaco Grand Prix,\N
659,1969,Dutch Grand Prix,\N
660,1969,French Grand Prix,\N
661,1969,British Grand Prix,\N
662,1969,German Grand Prix,\N
663,1969,Italian Grand Prix,\N
664,1969,Canadian Grand Prix,\N
665,1969,United States Grand Prix,\N
666,1969,Mexican Grand Prix,\N
667,1968,South African Grand Prix,\N
668,1968,Spanish Grand Prix,\N
669,1968,Monaco Grand Prix,\N
670,1968,Belgian Grand Prix,\N
671,1968,Dutch Grand Prix,\N
672,1968,French Grand Prix,\N
673,1968,British Grand Prix,\N
674,1968,German Grand Prix,\N
675,1968,Italian Grand Prix,\N
676,1968,Canadian Grand Prix,\N
677,1968,United States Grand Prix,\N
678,1968,Mexican Grand Prix,\N
679,1967,South African Grand Prix,\N
680,1967,Monaco Grand Prix,\N
681,1967,Dutch Grand Prix,\N
682,1967,Belgian Grand Prix,\N
683,1967,French Grand Prix,\N
684,1967,British Grand Prix,\N
685,1967,German Grand Prix,\N
686,1967,Canadian Grand Prix,\N
687,1967,Italian Grand Prix,\N
688,1967,United States Grand Prix,\N
689,1967,Mexican Grand Prix,\N
690,1966,Monaco Grand Prix,\N
691,1966,Belgian Grand Prix,\N
692,1966,French Grand Prix,\N
693,1966,British Grand Prix,\N
694,1966,Dutch Grand Prix,\N
695,1966,German Grand Prix,\N
696,1966,Italian Grand Prix,\N
697,1966,United States Grand Prix,\N
698,1966,Mexican Grand Prix,\N
699,1965,South African Grand Prix,\N
700,1965,Monaco Grand Prix,\N
701,1965,Belgian Grand Prix,\N
702,1965,French Grand Prix,\N
703,1965,British Grand Prix,\N
704,1965,Dutch Grand Prix,\N
705,1965,German Grand Prix,\N
706,1965,Italian Grand Prix,\N
707,1965,United States Grand Prix,\N
708,1965,Mexican Grand Prix,\N
709,1964,Monaco Grand Prix,\N
710,1964,Dutch Grand Prix,\N
711,1964,Belgian Grand Prix,\N
712,1964,French Grand Prix,\N
713,1964,British Grand Prix,\N
714,1964,German Grand Prix,\N
715,1964,Austrian Grand Prix,\N
716,1964,Italian Grand Prix,\N
717,1964,United States Grand Prix,\N
718,1964,Mexican Grand Prix,\N
719,1963,Monaco Grand Prix,\N
720,1963,Belgian Grand Prix,\N
721,1963,Dutch Grand Prix,\N
722,1963,French Grand Prix,\N
723,1963,British Grand Prix,\N
724,1963,German Grand Prix,\N
725,1963,Italian Grand Prix,\N
726,1963,United States Grand Prix,\N
727,1963,Mexican Grand Prix,\N
728,1963,South African Grand Prix,\N
729,1962,Dutch Grand Prix,\N
730,1962,Monaco Grand Prix,\N
731,1962,Belgian Grand Prix,\N
732,1962,French Grand Prix,\N
733,1962,British Grand Prix,\N
734,1962,German Grand Prix,\N
735,1962,Italian Grand Prix,\N
736,1962,United States Grand Prix,\N
737,1962,South African Grand Prix,\N
738,1961,Monaco Grand Prix,\N
739,1961,Dutch Grand Prix,\N
